newts	P_score_F	P_pass_prefilter	cdf
0.05	0	0	0.000992
0.06	0.143	0	0.000992
0.07	0.391	0.000302	0.000992
0.08	0.215	0.000719	0.000874
0.09	0.113	0.00117	0.000719
0.1	0.0655	0.00194	0.000587
0.11	0.0343	0.00319	0.00046
0.12	0.0185	0.00438	0.000351
0.13	0.0103	0.00531	0.00027
0.14	0.00624	0.00707	0.000215
0.15	0.00526	0.00965	0.000171
0.16	0.0026	0.0111	0.00012
0.17	0.0017	0.0128	9.12e-05
0.18	0.0015	0.015	6.94e-05
0.19	0.000664	0.0178	4.69e-05
0.2	0.000646	0.0224	3.51e-05
0.21	0.000273	0.0231	2.06e-05
0.22	0.000126	0.0252	1.43e-05
0.23	0.000129	0.032	1.11e-05
0.24	7.91e-05	0.0329	6.98e-06
0.25	4.88e-05	0.0388	4.38e-06
0.26	9.22e-06	0.04	2.49e-06
0.27	3.47e-05	0.0462	2.12e-06
0.28	1.01e-05	0.0511	5.16e-07
0.29	0	0.0559	0
0.3	0	0.0625	0
0.31	0	0.0638	0
0.32	0	0.0692	0
0.33	0	0.0655	0
0.34	0	0.0749	0
0.35	0	0.078	0
0.36	0	0.0824	0
0.37	0	0.0913	0
0.38	0	0.101	0
0.39	0	0.104	0
0.4	0	0.105	0
0.41	0	0.129	0
0.42	0	0.115	0
0.43	0	0.124	0
0.44	0	0.129	0
0.45	0	0.143	0
0.46	0	0.168	0
0.47	0	0.174	0
0.48	0	0.172	0
0.49	0	0.18	0
0.5	0	0.181	0
0.51	0	0.203	0
0.52	0	0.225	0
0.53	0	0.21	0
0.54	0	0.217	0
0.55	0	0.238	0
0.56	0	0.249	0
0.57	0	0.251	0
0.58	0	0.281	0
0.59	0	0.295	0
0.6	0	0.299	0
0.61	0	0.322	0
0.62	0	0.345	0
0.63	0	0.352	0
0.64	0	0.371	0
0.65	0	0.412	0
0.66	0	0.33	0
0.67	0	0.455	0
0.68	0	0.406	0
0.69	0	0.473	0
0.7	0	0.511	0
0.71	0	0.502	0
0.72	0	0.528	0
0.73	0	0.561	0
0.74	0	0.529	0
0.75	0	0.58	0
0.76	0	0.605	0
0.77	0	0.694	0
0.78	0	0.702	0
0.79	0	0.685	0
0.8	0	0.652	0
0.81	0	0.64	0
0.82	0	0.701	0
0.83	0	0.73	0
0.84	0	0.86	0
0.85	0	0.758	0
0.86	0	0.855	0
0.87	0	0.64	0
0.88	0	0.727	0
0.89	0	0.778	0
0.9	0	0.706	0
0.91	0	0.868	0
0.92	0	0.923	0
0.93	0	0.808	0
0.94	0	0.853	0
0.95	0	0.667	0
0.96	0	0.654	0
0.97	0	1	0
0.98	0	0.704	0
0.99	0	0.857	0
1	0	0.9	0
1.01	0	0.706	0
1.02	0	0.765	0
1.03	0	1	0
1.04	0	0.8	0
1.05	0	0.625	0
