newts	P_score_F	P_pass_prefilter	cdf
0.05	0	0	0.00138
0.06	0.117	0	0.00138
0.07	0.344	0.000302	0.00138
0.08	0.212	0.000719	0.00128
0.09	0.127	0.00117	0.00112
0.1	0.0801	0.00194	0.000976
0.11	0.0469	0.00319	0.00082
0.12	0.029	0.00438	0.000671
0.13	0.0177	0.00531	0.000544
0.14	0.0116	0.00707	0.00045
0.15	0.00854	0.00965	0.000367
0.16	0.00475	0.0111	0.000285
0.17	0.003	0.0128	0.000232
0.18	0.00237	0.015	0.000194
0.19	0.00147	0.0178	0.000158
0.2	0.00124	0.0224	0.000132
0.21	0.00086	0.0231	0.000104
0.22	0.0005	0.0252	8.44e-05
0.23	0.000411	0.032	7.18e-05
0.24	0.000278	0.0329	5.87e-05
0.25	0.000315	0.0388	4.95e-05
0.26	0.000171	0.04	3.73e-05
0.27	0.000114	0.0462	3.05e-05
0.28	9.62e-05	0.0511	2.52e-05
0.29	3.59e-05	0.0559	2.03e-05
0.3	1.84e-05	0.0625	1.83e-05
0.31	3.21e-05	0.0638	1.71e-05
0.32	3.68e-05	0.0692	1.51e-05
0.33	5.01e-05	0.0655	1.25e-05
0.34	2.9e-05	0.0749	9.24e-06
0.35	3.13e-05	0.078	7.07e-06
0.36	2.4e-05	0.0824	4.62e-06
0.37	5.83e-06	0.0913	2.64e-06
0.38	0	0.101	2.11e-06
0.39	0	0.104	2.11e-06
0.4	1.2e-05	0.105	2.11e-06
0.41	6.56e-06	0.129	8.46e-07
0.42	0	0.115	0
0.43	0	0.124	0
0.44	0	0.129	0
0.45	0	0.143	0
0.46	0	0.168	0
0.47	0	0.174	0
0.48	0	0.172	0
0.49	0	0.18	0
0.5	0	0.181	0
0.51	0	0.203	0
0.52	0	0.225	0
0.53	0	0.21	0
0.54	0	0.217	0
0.55	0	0.238	0
0.56	0	0.249	0
0.57	0	0.251	0
0.58	0	0.281	0
0.59	0	0.295	0
0.6	0	0.299	0
0.61	0	0.322	0
0.62	0	0.345	0
0.63	0	0.352	0
0.64	0	0.371	0
0.65	0	0.412	0
0.66	0	0.33	0
0.67	0	0.455	0
0.68	0	0.406	0
0.69	0	0.473	0
0.7	0	0.511	0
0.71	0	0.502	0
0.72	0	0.528	0
0.73	0	0.561	0
0.74	0	0.529	0
0.75	0	0.58	0
0.76	0	0.605	0
0.77	0	0.694	0
0.78	0	0.702	0
0.79	0	0.685	0
0.8	0	0.652	0
0.81	0	0.64	0
0.82	0	0.701	0
0.83	0	0.73	0
0.84	0	0.86	0
0.85	0	0.758	0
0.86	0	0.855	0
0.87	0	0.64	0
0.88	0	0.727	0
0.89	0	0.778	0
0.9	0	0.706	0
0.91	0	0.868	0
0.92	0	0.923	0
0.93	0	0.808	0
0.94	0	0.853	0
0.95	0	0.667	0
0.96	0	0.654	0
0.97	0	1	0
0.98	0	0.704	0
0.99	0	0.857	0
1	0	0.9	0
1.01	0	0.706	0
1.02	0	0.765	0
1.03	0	1	0
1.04	0	0.8	0
1.05	0	0.625	0
