score	N_sensitive	N_fast	P
0.05	5071072	0	0
0.0601	2884309	0	0
0.0702	1567136	0	0
0.0803	839326	0	0
0.0904	464895	0	0
0.101	259884	0	0
0.111	182887	0	0
0.121	98325	0	0
0.131	78932	0	0
0.141	64301	0	0
0.151	39381	14576	0.37
0.161	34240	20636	0.603
0.171	26305	17582	0.668
0.181	20811	15122	0.727
0.191	17136	12930	0.755
0.202	15276	12090	0.791
0.212	11402	9339	0.819
0.222	8412	6922	0.823
0.232	7904	6764	0.856
0.242	6604	5701	0.863
0.252	5433	4786	0.881
0.262	4604	4145	0.9
0.272	3950	3570	0.904
0.282	3528	3218	0.912
0.292	2959	2740	0.926
0.302	2664	2486	0.933
0.313	2463	2292	0.931
0.323	2199	2111	0.96
0.333	2072	1977	0.954
0.343	1832	1755	0.958
0.353	1665	1603	0.963
0.363	1518	1458	0.96
0.373	1391	1361	0.978
0.383	1263	1223	0.968
0.393	1256	1221	0.972
0.404	1153	1118	0.97
0.414	1072	1043	0.973
0.424	967	919	0.95
0.434	848	826	0.974
0.444	726	724	0.997
0.454	713	704	0.987
0.464	606	599	0.988
0.474	546	525	0.962
0.484	504	515	1
0.494	457	453	0.991
0.504	368	364	0.989
0.515	311	299	0.961
0.525	269	264	0.981
0.535	238	243	1
0.545	229	226	0.987
0.555	199	203	1
0.565	203	204	1
0.575	134	135	1
0.585	154	151	0.981
0.596	121	119	0.983
0.606	122	121	0.992
0.616	118	117	0.992
0.626	93	95	1
0.636	71	74	1
0.646	89	91	1
0.656	51	54	1
0.666	50	54	1
0.676	72	68	0.944
0.686	60	57	0.95
0.697	45	41	0.911
0.707	50	53	1
0.717	36	42	1
0.727	31	28	0.903
0.737	24	28	1
0.747	25	24	0.96
0.757	34	36	1
0.767	27	24	0.889
0.777	22	22	1
0.787	26	25	0.962
0.797	20	19	0.95
0.808	14	13	0.929
0.818	17	16	0.941
0.828	16	15	0.938
0.838	20	20	1
0.848	19	20	1
0.858	11	11	1
0.868	15	13	0.867
0.878	13	12	0.923
0.888	10	10	1
0.898	8	8	1
0.909	7	8	1
0.919	5	5	1
0.929	10	10	1
0.939	10	12	1
0.949	8	9	1
0.959	6	4	0.667
0.969	5	5	1
0.979	3	4	1
0.989	4	4	1
1	6	6	1
1.01	3	2	0.667
1.02	3	2	0.667
1.03	6	8	1
1.04	5	5	1
1.05	80	81	1
