newts	P_score_F	P_pass_prefilter	cdf
0.05	0.433	0	0.0039
0.0601	0.241	0	0.0039
0.0702	0.138	0	0.0039
0.0803	0.0772	0	0.0039
0.0904	0.0446	0	0.0039
0.101	0.0262	0	0.0039
0.111	0.0145	0	0.0039
0.121	0.00868	0	0.0039
0.131	0.00519	0	0.0039
0.141	0.00343	0	0.0039
0.151	0.0025	0.37	0.0039
0.161	0.00127	0.603	0.00297
0.171	0.000825	0.668	0.0022
0.181	0.000658	0.727	0.00165
0.191	0.000381	0.755	0.00117
0.202	0.000326	0.791	0.000887
0.212	0.000209	0.819	0.000629
0.222	0.000119	0.823	0.000458
0.232	0.000107	0.856	0.00036
0.242	6.34e-05	0.863	0.000269
0.252	8.42e-05	0.881	0.000214
0.262	3.33e-05	0.9	0.00014
0.272	2.82e-05	0.904	0.00011
0.282	2.35e-05	0.912	8.44e-05
0.292	5.42e-06	0.926	6.29e-05
0.302	4.68e-06	0.933	5.79e-05
0.313	9.36e-06	0.931	5.35e-05
0.323	9.5e-06	0.96	4.48e-05
0.333	1.39e-05	0.954	3.57e-05
0.343	4.73e-06	0.958	2.25e-05
0.353	9.36e-06	0.963	1.8e-05
0.363	4.73e-06	0.96	8.94e-06
0.373	9.27e-08	0.978	4.4e-06
0.383	0	0.968	4.31e-06
0.393	0	0.972	4.31e-06
0.404	4.45e-06	0.97	4.31e-06
0.414	0	0.973	0
0.424	0	0.95	0
0.434	0	0.974	0
0.444	0	0.997	0
0.454	0	0.987	0
0.464	0	0.988	0
0.474	0	0.962	0
0.484	0	1	0
0.494	0	0.991	0
0.504	0	0.989	0
0.515	0	0.961	0
0.525	0	0.981	0
0.535	0	1	0
0.545	0	0.987	0
0.555	0	1	0
0.565	0	1	0
0.575	0	1	0
0.585	0	0.981	0
0.596	0	0.983	0
0.606	0	0.992	0
0.616	0	0.992	0
0.626	0	1	0
0.636	0	1	0
0.646	0	1	0
0.656	0	1	0
0.666	0	1	0
0.676	0	0.944	0
0.686	0	0.95	0
0.697	0	0.911	0
0.707	0	1	0
0.717	0	1	0
0.727	0	0.903	0
0.737	0	1	0
0.747	0	0.96	0
0.757	0	1	0
0.767	0	0.889	0
0.777	0	1	0
0.787	0	0.962	0
0.797	0	0.95	0
0.808	0	0.929	0
0.818	0	0.941	0
0.828	0	0.938	0
0.838	0	1	0
0.848	0	1	0
0.858	0	1	0
0.868	0	0.867	0
0.878	0	0.923	0
0.888	0	1	0
0.898	0	1	0
0.909	0	1	0
0.919	0	1	0
0.929	0	1	0
0.939	0	1	0
0.949	0	1	0
0.959	0	0.667	0
0.969	0	1	0
0.979	0	1	0
0.989	0	1	0
1	0	1	0
1.01	0	0.667	0
1.02	0	0.667	0
1.03	0	1	0
1.04	0	1	0
1.05	0	1	0
