score	N_sensitive	N_fast	P
0.05	15492184	0	0
0.0601	8803149	0	0
0.0702	5106260	0	0
0.0803	3067368	0	0
0.0904	1993476	0	0
0.101	1333870	0	0
0.111	1145675	0	0
0.121	754010	0	0
0.131	712333	0	0
0.141	684488	0	0
0.151	499571	0	0
0.161	498033	0	0
0.171	446738	38737	0.0867
0.181	395795	130217	0.329
0.191	353910	124985	0.353
0.202	350228	131913	0.377
0.212	288642	118932	0.412
0.222	236468	102349	0.433
0.232	237036	106633	0.45
0.242	214345	102727	0.479
0.252	196402	98868	0.503
0.262	184622	95661	0.518
0.272	173054	93451	0.54
0.282	163436	89285	0.546
0.292	154259	83023	0.538
0.302	141917	76649	0.54
0.313	132837	71866	0.541
0.323	124691	68193	0.547
0.333	117484	64122	0.546
0.343	114756	60913	0.531
0.353	112177	57551	0.513
0.363	107507	54318	0.505
0.373	102597	51838	0.505
0.383	99196	47784	0.482
0.393	100304	47557	0.474
0.404	96327	45773	0.475
0.414	91276	44168	0.484
0.424	86869	43060	0.496
0.434	84391	42091	0.499
0.444	80867	40017	0.495
0.454	77909	38968	0.5
0.464	73807	36734	0.498
0.474	68150	34724	0.51
0.484	64691	33471	0.517
0.494	61534	32733	0.532
0.504	56881	31926	0.561
0.515	53628	30788	0.574
0.525	51509	30264	0.588
0.535	50029	29730	0.594
0.545	49697	30911	0.622
0.555	47046	29276	0.622
0.565	48656	30731	0.632
0.575	41590	26712	0.642
0.585	40040	25830	0.645
0.596	40441	25909	0.641
0.606	38822	25257	0.651
0.616	37044	24387	0.658
0.626	31524	21101	0.669
0.636	32131	22277	0.693
0.646	28715	20576	0.717
0.656	26568	19378	0.729
0.666	24868	18711	0.752
0.676	23164	17658	0.762
0.686	23858	18325	0.768
0.697	20987	16024	0.764
0.707	19798	15260	0.771
0.717	18301	14764	0.807
0.727	15737	12827	0.815
0.737	15173	12225	0.806
0.747	13731	11660	0.849
0.757	11042	9643	0.873
0.767	12310	11033	0.896
0.777	11114	10247	0.922
0.787	10604	9865	0.93
0.797	10385	9820	0.946
0.808	9831	9333	0.949
0.818	10011	9554	0.954
0.828	8519	8094	0.95
0.838	7939	7601	0.957
0.848	7354	7004	0.952
0.858	7227	6951	0.962
0.868	6993	6763	0.967
0.878	6658	6502	0.977
0.888	5519	5354	0.97
0.898	5696	5524	0.97
0.909	5560	5440	0.978
0.919	5303	5201	0.981
0.929	5017	4875	0.972
0.939	4910	4769	0.971
0.949	4174	4064	0.974
0.959	4165	4051	0.973
0.969	4330	4201	0.97
0.979	4382	4280	0.977
0.989	4712	4613	0.979
1	3753	3689	0.983
1.01	2190	2156	0.984
1.02	3927	3817	0.972
1.03	3600	3507	0.974
1.04	3563	3484	0.978
1.05	113358	110341	0.973
