newts	P_score_F	P_pass_prefilter	cdf
0.05	0.492	0	0.000306
0.0601	0.251	0	0.000306
0.0702	0.126	0	0.000306
0.0803	0.0624	0	0.000306
0.0904	0.0318	0	0.000306
0.101	0.017	0	0.000306
0.111	0.00835	0	0.000306
0.121	0.00443	0	0.000306
0.131	0.00243	0	0.000306
0.141	0.0015	0	0.000306
0.151	0.00131	0	0.000306
0.161	0.000551	0	0.000306
0.171	0.000412	0.0867	0.000306
0.181	0.000344	0.329	0.000271
0.191	0.000134	0.353	0.000158
0.202	0.000139	0.377	0.00011
0.212	4.25e-05	0.412	5.79e-05
0.222	2.42e-05	0.433	4.04e-05
0.232	2.86e-05	0.45	2.99e-05
0.242	1.44e-05	0.479	1.7e-05
0.252	9.62e-06	0.503	1.01e-05
0.262	9.53e-08	0.518	5.3e-06
0.272	9.43e-06	0.54	5.25e-06
0.282	2.86e-07	0.546	1.56e-07
0.292	0	0.538	0
0.302	0	0.54	0
0.313	0	0.541	0
0.323	0	0.547	0
0.333	0	0.546	0
0.343	0	0.531	0
0.353	0	0.513	0
0.363	0	0.505	0
0.373	0	0.505	0
0.383	0	0.482	0
0.393	0	0.474	0
0.404	0	0.475	0
0.414	0	0.484	0
0.424	0	0.496	0
0.434	0	0.499	0
0.444	0	0.495	0
0.454	0	0.5	0
0.464	0	0.498	0
0.474	0	0.51	0
0.484	0	0.517	0
0.494	0	0.532	0
0.504	0	0.561	0
0.515	0	0.574	0
0.525	0	0.588	0
0.535	0	0.594	0
0.545	0	0.622	0
0.555	0	0.622	0
0.565	0	0.632	0
0.575	0	0.642	0
0.585	0	0.645	0
0.596	0	0.641	0
0.606	0	0.651	0
0.616	0	0.658	0
0.626	0	0.669	0
0.636	0	0.693	0
0.646	0	0.717	0
0.656	0	0.729	0
0.666	0	0.752	0
0.676	0	0.762	0
0.686	0	0.768	0
0.697	0	0.764	0
0.707	0	0.771	0
0.717	0	0.807	0
0.727	0	0.815	0
0.737	0	0.806	0
0.747	0	0.849	0
0.757	0	0.873	0
0.767	0	0.896	0
0.777	0	0.922	0
0.787	0	0.93	0
0.797	0	0.946	0
0.808	0	0.949	0
0.818	0	0.954	0
0.828	0	0.95	0
0.838	0	0.957	0
0.848	0	0.952	0
0.858	0	0.962	0
0.868	0	0.967	0
0.878	0	0.977	0
0.888	0	0.97	0
0.898	0	0.97	0
0.909	0	0.978	0
0.919	0	0.981	0
0.929	0	0.972	0
0.939	0	0.971	0
0.949	0	0.974	0
0.959	0	0.973	0
0.969	0	0.97	0
0.979	0	0.977	0
0.989	0	0.979	0
1	0	0.983	0
1.01	0	0.984	0
1.02	0	0.972	0
1.03	0	0.974	0
1.04	0	0.978	0
1.05	0	0.973	0
