score	N_sensitive	N_fast	P
0.05	198000	0	0
0.0601	116700	15230	0.131
0.0702	73290	47630	0.65
0.0803	46850	32270	0.689
0.0904	32840	23550	0.717
0.101	25310	18770	0.742
0.111	18780	14590	0.777
0.121	15360	12200	0.794
0.131	12090	9886	0.818
0.141	11940	9920	0.831
0.151	12000	10350	0.863
0.161	8935	7805	0.874
0.171	9050	8057	0.89
0.181	9163	8252	0.901
0.191	6623	6057	0.915
0.202	7481	6951	0.929
0.212	6161	5748	0.933
0.222	4932	4625	0.938
0.232	5295	4979	0.94
0.242	4055	3865	0.953
0.252	4297	4070	0.947
0.262	3295	3188	0.968
0.272	3134	3036	0.969
0.282	3130	3058	0.977
0.292	2299	2236	0.973
0.302	2317	2259	0.975
0.313	2346	2308	0.984
0.323	1761	1741	0.989
0.333	1804	1784	0.989
0.343	1827	1817	0.995
0.353	1317	1308	0.993
0.363	1387	1381	0.996
0.373	1337	1333	0.997
0.383	1138	1136	0.998
0.393	897	895	0.998
0.404	1087	1085	0.998
0.414	958	958	1
0.424	843	841	0.998
0.434	972	972	1
0.444	810	810	1
0.454	643	643	1
0.464	882	882	1
0.474	704	704	1
0.484	623	623	1
0.494	731	731	1
0.504	688	688	1
0.515	619	619	1
0.525	600	600	1
0.535	482	482	1
0.545	490	490	1
0.555	525	525	1
0.565	522	522	1
0.575	411	411	1
0.585	428	428	1
0.596	356	356	1
0.606	406	406	1
0.616	381	381	1
0.626	378	378	1
0.636	284	284	1
0.646	287	287	1
0.656	211	211	1
0.666	234	234	1
0.676	208	208	1
0.686	229	229	1
0.697	195	195	1
0.707	150	150	1
0.717	108	108	1
0.727	109	109	1
0.737	135	135	1
0.747	121	121	1
0.757	91	91	1
0.767	79	79	1
0.777	82	82	1
0.787	58	58	1
0.797	58	58	1
0.808	68	68	1
0.818	59	59	1
0.828	38	38	1
0.838	44	44	1
0.848	45	45	1
0.858	28	28	1
0.868	27	27	1
0.878	30	30	1
0.888	20	20	1
0.898	22	22	1
0.909	13	13	1
0.919	26	26	1
0.929	16	16	1
0.939	6	6	1
0.949	10	10	1
0.959	4	4	1
0.969	6	6	1
0.979	14	14	1
0.989	4	4	1
1	4	4	1
1.01	8	8	1
1.02	8	8	1
1.03	4	4	1
1.04	1	1	1
1.05	25	25	1
