newts	P_score_F	P_pass_prefilter	cdf
0.05	0.492	0	0.225
0.0601	0.251	0.134	0.225
0.0702	0.126	0.701	0.191
0.0803	0.0624	0.747	0.103
0.0904	0.0318	0.785	0.0561
0.101	0.017	0.816	0.0312
0.111	0.00835	0.856	0.0174
0.121	0.00443	0.874	0.0102
0.131	0.00243	0.891	0.00633
0.141	0.0015	0.905	0.00417
0.151	0.00131	0.923	0.00281
0.161	0.000551	0.925	0.0016
0.171	0.000412	0.928	0.00109
0.181	0.000344	0.935	0.000706
0.191	0.000134	0.946	0.000385
0.202	0.000139	0.958	0.000258
0.212	4.25e-05	0.96	0.000125
0.222	2.42e-05	0.959	8.37e-05
0.232	2.86e-05	0.965	6.05e-05
0.242	1.44e-05	0.97	3.29e-05
0.252	9.62e-06	0.973	1.9e-05
0.262	9.53e-08	0.983	9.6e-06
0.272	9.43e-06	0.978	9.51e-06
0.282	2.86e-07	0.991	2.83e-07
0.292	0	0.985	0
0.302	0	0.985	0
0.313	0	0.989	0
0.323	0	0.994	0
0.333	0	0.99	0
0.343	0	0.997	0
0.353	0	0.995	0
0.363	0	0.994	0
0.373	0	0.996	0
0.383	0	1	0
0.393	0	0.997	0
0.404	0	1	0
0.414	0	1	0
0.424	0	1	0
0.434	0	1	0
0.444	0	1	0
0.454	0	1	0
0.464	0	1	0
0.474	0	1	0
0.484	0	1	0
0.494	0	1	0
0.504	0	1	0
0.515	0	1	0
0.525	0	1	0
0.535	0	1	0
0.545	0	1	0
0.555	0	1	0
0.565	0	1	0
0.575	0	1	0
0.585	0	1	0
0.596	0	1	0
0.606	0	1	0
0.616	0	1	0
0.626	0	1	0
0.636	0	1	0
0.646	0	1	0
0.656	0	1	0
0.666	0	1	0
0.676	0	1	0
0.686	0	1	0
0.697	0	1	0
0.707	0	1	0
0.717	0	1	0
0.727	0	1	0
0.737	0	1	0
0.747	0	1	0
0.757	0	1	0
0.767	0	1	0
0.777	0	1	0
0.787	0	1	0
0.797	0	1	0
0.808	0	1	0
0.818	0	1	0
0.828	0	1	0
0.838	0	1	0
0.848	0	1	0
0.858	0	1	0
0.868	0	1	0
0.878	0	1	0
0.888	0	1	0
0.898	0	1	0
0.909	0	1	0
0.919	0	1	0
0.929	0	1	0
0.939	0	1	0
0.949	0	1	0
0.959	0	1	0
0.969	0	1	0
0.979	0	1	0
0.989	0	1	0
1	0	1	0
1.01	0	1	0
1.02	0	1	0
1.03	0	1	0
1.04	0	0	0
1.05	0	1	0
