newts	P_score_F	P_pass_prefilter	cdf
0.05	0.433	0	0.257
0.0601	0.241	0.131	0.257
0.0702	0.138	0.65	0.226
0.0803	0.0772	0.689	0.136
0.0904	0.0446	0.717	0.0827
0.101	0.0262	0.742	0.0507
0.111	0.0145	0.777	0.0312
0.121	0.00868	0.794	0.0199
0.131	0.00519	0.818	0.013
0.141	0.00343	0.831	0.0088
0.151	0.0025	0.863	0.00595
0.161	0.00127	0.874	0.00379
0.171	0.000825	0.89	0.00267
0.181	0.000658	0.901	0.00194
0.191	0.000381	0.915	0.00135
0.202	0.000326	0.929	0.000998
0.212	0.000209	0.933	0.000695
0.222	0.000119	0.938	0.0005
0.232	0.000107	0.94	0.000388
0.242	6.34e-05	0.953	0.000288
0.252	8.42e-05	0.947	0.000228
0.262	3.33e-05	0.968	0.000148
0.272	2.82e-05	0.969	0.000116
0.282	2.35e-05	0.977	8.84e-05
0.292	5.42e-06	0.973	6.54e-05
0.302	4.68e-06	0.975	6.01e-05
0.313	9.36e-06	0.984	5.55e-05
0.323	9.5e-06	0.989	4.63e-05
0.333	1.39e-05	0.989	3.69e-05
0.343	4.73e-06	0.995	2.32e-05
0.353	9.36e-06	0.993	1.85e-05
0.363	4.73e-06	0.996	9.24e-06
0.373	9.27e-08	0.997	4.53e-06
0.383	0	0.998	4.44e-06
0.393	0	0.998	4.44e-06
0.404	4.45e-06	0.998	4.44e-06
0.414	0	1	0
0.424	0	0.998	0
0.434	0	1	0
0.444	0	1	0
0.454	0	1	0
0.464	0	1	0
0.474	0	1	0
0.484	0	1	0
0.494	0	1	0
0.504	0	1	0
0.515	0	1	0
0.525	0	1	0
0.535	0	1	0
0.545	0	1	0
0.555	0	1	0
0.565	0	1	0
0.575	0	1	0
0.585	0	1	0
0.596	0	1	0
0.606	0	1	0
0.616	0	1	0
0.626	0	1	0
0.636	0	1	0
0.646	0	1	0
0.656	0	1	0
0.666	0	1	0
0.676	0	1	0
0.686	0	1	0
0.697	0	1	0
0.707	0	1	0
0.717	0	1	0
0.727	0	1	0
0.737	0	1	0
0.747	0	1	0
0.757	0	1	0
0.767	0	1	0
0.777	0	1	0
0.787	0	1	0
0.797	0	1	0
0.808	0	1	0
0.818	0	1	0
0.828	0	1	0
0.838	0	1	0
0.848	0	1	0
0.858	0	1	0
0.868	0	1	0
0.878	0	1	0
0.888	0	1	0
0.898	0	1	0
0.909	0	1	0
0.919	0	1	0
0.929	0	1	0
0.939	0	1	0
0.949	0	1	0
0.959	0	1	0
0.969	0	1	0
0.979	0	1	0
0.989	0	1	0
1	0	1	0
1.01	0	1	0
1.02	0	1	0
1.03	0	1	0
1.04	0	1	0
1.05	0	1	0
