score	N_sensitive	N_fast	P
0.05	110600	0	0
0.0601	60680	8150	0.134
0.0702	35030	24540	0.701
0.0803	21500	16060	0.747
0.0904	15100	11860	0.785
0.101	12040	9829	0.816
0.111	9476	8111	0.856
0.121	8130	7107	0.874
0.131	6627	5902	0.891
0.141	6790	6145	0.905
0.151	7096	6547	0.923
0.161	5439	5032	0.925
0.171	5662	5252	0.928
0.181	5845	5463	0.935
0.191	4268	4038	0.946
0.202	4890	4685	0.958
0.212	4047	3884	0.96
0.222	3396	3257	0.959
0.232	3664	3534	0.965
0.242	2821	2735	0.97
0.252	2990	2910	0.973
0.262	2327	2287	0.983
0.272	2217	2168	0.978
0.282	2222	2202	0.991
0.292	1618	1593	0.985
0.302	1622	1597	0.985
0.313	1679	1661	0.989
0.323	1249	1241	0.994
0.333	1262	1250	0.99
0.343	1304	1300	0.997
0.353	970	965	0.995
0.363	995	989	0.994
0.373	988	984	0.996
0.383	846	846	1
0.393	680	678	0.997
0.404	782	782	1
0.414	706	706	1
0.424	618	618	1
0.434	703	703	1
0.444	589	589	1
0.454	455	455	1
0.464	608	608	1
0.474	532	532	1
0.484	437	437	1
0.494	521	521	1
0.504	488	488	1
0.515	409	409	1
0.525	417	417	1
0.535	342	342	1
0.545	318	318	1
0.555	355	355	1
0.565	332	332	1
0.575	303	303	1
0.585	268	268	1
0.596	256	256	1
0.606	293	293	1
0.616	254	254	1
0.626	240	240	1
0.636	186	186	1
0.646	195	195	1
0.656	125	125	1
0.666	170	170	1
0.676	134	134	1
0.686	181	181	1
0.697	149	149	1
0.707	120	120	1
0.717	88	88	1
0.727	90	90	1
0.737	119	119	1
0.747	109	109	1
0.757	78	78	1
0.767	75	75	1
0.777	72	72	1
0.787	50	50	1
0.797	46	46	1
0.808	54	54	1
0.818	49	49	1
0.828	30	30	1
0.838	40	40	1
0.848	37	37	1
0.858	28	28	1
0.868	25	25	1
0.878	22	22	1
0.888	20	20	1
0.898	18	18	1
0.909	13	13	1
0.919	24	24	1
0.929	14	14	1
0.939	6	6	1
0.949	8	8	1
0.959	4	4	1
0.969	6	6	1
0.979	14	14	1
0.989	4	4	1
1	4	4	1
1.01	8	8	1
1.02	8	8	1
1.03	4	4	1
1.04	0	0	0
1.05	22	22	1
