DALI
Z-score     Pval    Pvalc   SCOP40  SCOP40c      PDB     PDBc   AFDB50  AFDB50c
      5      0.1     0.39      >10      >10      >10      >10      >10      >10
     10     0.01   0.0068      2.3      1.5      >10      >10      >10      >10
     15   0.0011  0.00012     0.24    0.027      >10      2.1      >10      >10
     20  0.00011  2.1e-06    0.024  0.00047      1.9    0.037      >10      2.3
     25  1.1e-05  3.7e-08   0.0024  8.3e-06     0.19  0.00066      >10     0.04
     30  1.1e-06  6.5e-10  0.00025  1.5e-07    0.019  1.2e-05      1.2   0.0007
     35  1.1e-07  1.1e-11  2.5e-05  2.6e-09    0.002    2e-07     0.12  1.2e-05
     40  1.1e-08    2e-13  2.5e-06  4.5e-11   0.0002  3.6e-09    0.012  2.2e-07
     45  1.1e-09  3.5e-15  2.6e-07    8e-13    2e-05  6.3e-11   0.0012  3.8e-09
     50  1.2e-10  6.2e-17  2.6e-08  1.4e-14  2.1e-06  1.1e-12  0.00012  6.7e-11
     55  1.2e-11  1.1e-18  2.6e-09  2.5e-16  2.1e-07  1.9e-14  1.3e-05  1.2e-12
     60  1.2e-12  1.9e-20  2.7e-10  4.3e-18  2.1e-08  3.4e-16  1.3e-06  2.1e-14

TM-align
     TM     Pval    Pvalc   SCOP40  SCOP40c      PDB     PDBc   AFDB50  AFDB50c
   0.50   0.0056   0.0064      >10      >10      >10      >10      >10      >10
   0.55   0.0014   0.0013      >10      >10      >10      >10      >10      >10
   0.60  0.00035  0.00027      3.9        3      >10      >10      >10      >10
   0.65  8.6e-05  5.4e-05     0.97     0.61      >10      >10      >10      >10
   0.70  2.2e-05  1.1e-05     0.24     0.12      >10      9.8      >10      >10
   0.75  5.4e-06  2.3e-06     0.06    0.025      4.7        2      >10      >10
   0.80  1.3e-06  4.6e-07    0.015   0.0052      1.2     0.41      >10      >10
   0.85  3.3e-07  9.4e-08   0.0037   0.0011     0.29    0.083      >10        5
   0.90  8.3e-08  1.9e-08  0.00093  0.00022    0.073    0.017      4.4        1
   0.95  2.1e-08  3.9e-09  0.00023  4.4e-05    0.018   0.0035      1.1     0.21

Foldseek
E-value     Pval    Pvalc   SCOP40  SCOP40c      PDB     PDBc   AFDB50  AFDB50c
     10     0.12     0.57      >10      >10      >10      >10      >10      >10
      1    0.048     0.12      >10      >10      >10      >10      >10      >10
    0.1    0.019    0.025      >10      >10      >10      >10      >10      >10
   0.01   0.0076   0.0053      3.7      2.6      >10      >10      >10      >10
  0.001    0.003   0.0011      1.4     0.52      >10      >10      >10      >10
 0.0001   0.0012  0.00024     0.57     0.11      >10      2.2      >10      >10
  1e-05  0.00048    5e-05     0.25    0.026      4.9     0.51      >10      8.3
  1e-06  0.00019  1.1e-05     0.12   0.0066      2.3     0.13      >10      2.1
  1e-07  7.6e-05  2.2e-06    0.059   0.0018      1.2    0.034      >10     0.56
  1e-08    3e-05  4.7e-07    0.031  0.00049     0.61   0.0095      9.9     0.16
  1e-09  1.2e-05    1e-07    0.017  0.00014     0.33   0.0027      5.4    0.044
  1e-10  4.8e-06  2.1e-08   0.0093  4.1e-05     0.18   0.0008      2.9    0.013

Reseek
     TS     Pval    Pvalc   SCOP40  SCOP40c      PDB     PDBc   AFDB50  AFDB50c
   0.00     0.98        1      >10      >10      >10      >10      >10      >10
   0.05     0.18     0.38      >10      >10      >10      >10      >10      >10
   0.10    0.033    0.034      1.9      1.9      >10      >10      >10      >10
   0.15   0.0062   0.0031     0.35     0.17      >10      >10      >10      >10
   0.20   0.0011  0.00028    0.064    0.016        5      1.2      >10      >10
   0.25  0.00021  2.5e-05    0.012   0.0014     0.93     0.11      >10      6.8
   0.30  3.9e-05  2.3e-06   0.0022  0.00013     0.17     0.01      >10     0.61
   0.35  7.1e-06    2e-07   0.0004  1.1e-05    0.032  0.00091      1.9    0.055
   0.40  1.3e-06  1.8e-08  7.4e-05    1e-06   0.0058  8.2e-05     0.35    0.005
   0.45  2.4e-07  1.7e-09  1.4e-05  9.3e-08   0.0011  7.4e-06    0.065  0.00045
   0.50  4.5e-08  1.5e-10  2.5e-06  8.4e-09   0.0002  6.6e-07    0.012    4e-05
   0.55  8.3e-09  1.4e-11  4.6e-07  7.6e-10  3.7e-05    6e-08   0.0022  3.6e-06
   0.60  1.5e-09  1.2e-12  8.6e-08  6.8e-11  6.7e-06  5.4e-09  0.00041  3.3e-07
   0.65  2.8e-10  1.1e-13  1.6e-08  6.2e-12  1.2e-06  4.9e-10  7.6e-05    3e-08
   0.70  5.2e-11  9.9e-15  2.9e-09  5.6e-13  2.3e-07  4.4e-11  1.4e-05  2.7e-09
