  TS  scop40/f  scop40/s  scop40c/f  scop40c/s    bfvd/f    bfvd/s   bfvdc/f   bfvdc/s     pdb/f     pdb/s    pdbc/f    pdbc/s  afdb50/f  afdb50/s  afdb50c/f  afdb50c/s
0.05      5.25      10.9       13.4       18.6      1.93       190      7.52       325      17.4       752      52.8  1.29e+03      1.43  1.92e+04       3.83   3.29e+04
0.10      1.14      2.01       1.75       1.82      0.46      35.1     0.804      31.8       4.3       139      5.86       126     0.522  3.55e+03      0.622   3.21e+03
0.15     0.249     0.371      0.165      0.178     0.109      6.47    0.0777      3.11      1.06      25.6      0.65      12.3      0.19       655      0.101        315
0.20    0.0543    0.0685     0.0155     0.0174     0.026      1.19   0.00751     0.304     0.263      4.73    0.0721       1.2    0.0694       121     0.0164       30.8
0.25    0.0118    0.0126    0.00146    0.00171    0.0062      0.22  0.000725    0.0297    0.0652     0.872   0.00799     0.118    0.0253      22.3    0.00266       3.01
0.30   0.00257   0.00233   0.000137   0.000167   0.00147    0.0406  7.01e-05   0.00291    0.0161     0.161  0.000886    0.0115   0.00921      4.11   0.000432      0.295
0.35   0.00056   0.00043   1.29e-05   1.63e-05  0.000351    0.0075  6.77e-06  0.000285   0.00399    0.0297  9.83e-05   0.00113   0.00336     0.759   7.02e-05     0.0288
0.40  0.000122  7.93e-05   1.21e-06    1.6e-06  8.35e-05   0.00138  6.54e-07  2.78e-05  0.000988   0.00548  1.09e-05   0.00011   0.00122      0.14   1.14e-05    0.00282
0.45  2.66e-05  1.46e-05   1.14e-07   1.56e-07  1.99e-05  0.000255  6.32e-08  2.72e-06  0.000244   0.00101  1.21e-06  1.08e-05  0.000446    0.0258   1.85e-06   0.000276
0.50  5.79e-06   2.7e-06   1.07e-08   1.53e-08  4.73e-06  4.71e-05   6.1e-09  2.67e-07  6.05e-05  0.000186  1.34e-07  1.06e-06  0.000162   0.00477      3e-07    2.7e-05
0.55  1.26e-06  4.98e-07      1e-09    1.5e-09  1.13e-06  8.69e-06  5.89e-10  2.61e-08   1.5e-05  3.44e-05  1.49e-08  1.03e-07  5.92e-05  0.000879   4.88e-08   2.64e-06
0.60  2.74e-07  9.19e-08   9.42e-11   1.46e-10  2.68e-07   1.6e-06  5.69e-11  2.55e-09   3.7e-06  6.34e-06  1.65e-09  1.01e-08  2.16e-05  0.000162   7.92e-09   2.58e-07
0.65  5.98e-08   1.7e-08   8.85e-12   1.43e-11  6.37e-08  2.96e-07   5.5e-12   2.5e-10  9.16e-07  1.17e-06  1.83e-10  9.88e-10  7.86e-06  2.99e-05   1.29e-09   2.53e-08
0.70   1.3e-08  3.13e-09   8.32e-13    1.4e-12  1.52e-08  5.45e-08  5.31e-13  2.44e-11  2.27e-07  2.16e-07  2.03e-11  9.67e-11  2.86e-06  5.52e-06   2.09e-10   2.47e-09
0.75  2.83e-09  5.77e-10   7.82e-14   1.37e-13  3.61e-09  1.01e-08  5.13e-14  2.39e-12  5.61e-08  3.98e-08  2.25e-12  9.46e-12  1.04e-06  1.02e-06   3.39e-11   2.42e-10
0.80  6.17e-10  1.07e-10   7.35e-15   1.34e-14  8.59e-10  1.86e-09  4.96e-15  2.34e-13  1.39e-08  7.35e-09   2.5e-13  9.26e-13   3.8e-07  1.88e-07    5.5e-12   2.37e-11
0.85  1.34e-10  1.97e-11    6.9e-16   1.31e-15  2.04e-10  3.43e-10  4.79e-16  2.29e-14  3.44e-09  1.36e-09  2.77e-14  9.06e-14  1.39e-07  3.47e-08   8.94e-13   2.32e-12
0.90  2.93e-11  3.63e-12   6.49e-17   1.28e-16  4.86e-11  6.32e-11  4.63e-17  2.24e-15   8.5e-10   2.5e-10  3.07e-15  8.86e-15  5.05e-08   6.4e-09   1.45e-13   2.27e-13
0.95  6.38e-12  6.69e-13    6.1e-18   1.26e-17  1.16e-11  1.17e-11  4.47e-18  2.19e-16   2.1e-10  4.62e-11  3.41e-16  8.67e-16  1.84e-08  1.18e-09   2.36e-14   2.22e-14
1.00  1.39e-12  1.23e-13   5.73e-19   1.23e-18  2.75e-12  2.15e-12  4.32e-19  2.14e-17  5.21e-11  8.52e-12  3.78e-17  8.48e-17  6.71e-09  2.18e-10   3.83e-15   2.17e-15
1.05  3.02e-13  2.28e-14   5.38e-20    1.2e-19  6.55e-13  3.97e-13  4.17e-20   2.1e-18  1.29e-11  1.57e-12  4.19e-18   8.3e-18  2.45e-09  4.02e-11   6.21e-16   2.12e-16
