TS	scop40	scop40_fit	scop40c	scop40c_fit	bfvd	bfvd_fit	bfvdc	bfvdc_fit	pdb	pdb_fit	pdbc	pdbc_fit	afdb50	afdb50_fit	afdb50c	afdb50c_fit
0.05	0.257	0.12	0.225	0.377	0.0039	0.0718	0.00166	0.267	0.000884	0.0344	0.000306	0.0806	0.00138	0.00267	0.000992	0.00714
0.10	0.0537	0.025	0.0335	0.0333	0.0039	0.0167	0.00166	0.025	0.000884	0.00834	0.000306	0.00896	0.000976	0.000973	0.000587	0.00116
0.15	0.00623	0.00522	0.00295	0.00293	0.0039	0.0039	0.00166	0.00235	0.000884	0.00202	0.000306	0.000994	0.000367	0.000355	0.000171	0.000188
0.20	0.00106	0.00109	0.000281	0.000258	0.000938	0.000909	0.000237	0.000221	0.000486	0.00049	0.000119	0.00011	0.000132	0.000129	3.51e-05	3.05e-05
0.25	0.00024	0.000227	2.18e-05	2.27e-05	0.000225	0.000212	1.99e-05	2.07e-05	0.000129	0.000119	1.15e-05	1.23e-05	4.95e-05	4.71e-05	4.38e-06	4.96e-06
0.30	6.12e-05	4.74e-05	0	2e-06	5.89e-05	4.94e-05	0	1.94e-06	3.28e-05	2.88e-05	0	1.36e-06	1.83e-05	1.72e-05	0	8.05e-07
0.35	1.99e-05	9.89e-06	0	1.77e-07	1.93e-05	1.15e-05	0	1.82e-07	1.01e-05	6.98e-06	0	1.51e-07	7.07e-06	6.25e-06	0	1.31e-07
0.40	4.44e-06	2.06e-06	0	1.56e-08	4.31e-06	2.68e-06	0	1.71e-08	2.11e-06	1.69e-06	0	1.68e-08	2.11e-06	2.28e-06	0	2.12e-08
0.45	0	4.31e-07	0	1.37e-09	0	6.26e-07	0	1.61e-09	0	4.1e-07	0	1.86e-09	0	8.31e-07	0	3.45e-09
0.50	0	8.99e-08	0	1.21e-10	0	1.46e-07	0	1.51e-10	0	9.94e-08	0	2.07e-10	0	3.03e-07	0	5.6e-10
0.55	0	1.88e-08	0	1.06e-11	0	3.4e-08	0	1.42e-11	0	2.41e-08	0	2.3e-11	0	1.1e-07	0	9.09e-11
0.60	0	3.92e-09	0	9.37e-13	0	7.92e-09	0	1.33e-12	0	5.84e-09	0	2.55e-12	0	4.02e-08	0	1.48e-11
0.65	0	8.17e-10	0	8.26e-14	0	1.85e-09	0	1.25e-13	0	1.42e-09	0	2.84e-13	0	1.46e-08	0	2.4e-12
0.70	0	1.71e-10	0	7.28e-15	0	4.3e-10	0	1.17e-14	0	3.43e-10	0	3.15e-14	0	5.34e-09	0	3.89e-13
0.75	0	3.56e-11	0	6.41e-16	0	1e-10	0	1.1e-15	0	8.31e-11	0	3.5e-15	0	1.95e-09	0	6.32e-14
0.80	0	7.43e-12	0	5.65e-17	0	2.34e-11	0	1.03e-16	0	2.02e-11	0	3.88e-16	0	7.09e-10	0	1.03e-14
0.85	0	1.55e-12	0	4.98e-18	0	5.45e-12	0	9.69e-18	0	4.88e-12	0	4.31e-17	0	2.58e-10	0	1.67e-15
0.90	0	3.24e-13	0	4.38e-19	0	1.27e-12	0	9.09e-19	0	1.18e-12	0	4.79e-18	0	9.41e-11	0	2.7e-16
0.95	0	6.75e-14	0	3.86e-20	0	2.96e-13	0	8.53e-20	0	2.87e-13	0	5.32e-19	0	3.43e-11	0	4.39e-17
1.00	0	1.41e-14	0	3.4e-21	0	6.9e-14	0	8.01e-21	0	6.96e-14	0	5.9e-20	0	1.25e-11	0	7.13e-18
1.05	0	2.94e-15	0	3e-22	0	1.61e-14	0	7.52e-22	0	1.69e-14	0	6.56e-21	0	4.56e-12	0	1.16e-18
