TS	P-value	P-value/c	fast.scop40.scop40.est	fast.scop40.scop40.msd	sensitive.scop40.scop40.est	sensitive.scop40.scop40.msd	sensitive.scop40.scop40.v25	fast.scop40.scop40c.est	fast.scop40.scop40c.msd	sensitive.scop40.scop40c.est	sensitive.scop40.scop40c.msd	fast.bfvd.scop40.est	sensitive.bfvd.scop40.est	fast.bfvd.scop40c.est	sensitive.bfvd.scop40c.est	fast.pdb.scop40.est	sensitive.pdb.scop40.est	fast.pdb.scop40c.est	sensitive.pdb.scop40c.est	fast.afdb50.scop40.est	sensitive.afdb50.scop40.est	fast.afdb50.scop40c.est	sensitive.afdb50.scop40c.est
0.05	1.81e-01	3.09e-01	8.46e+00	9.69e+00	>10	>10	>10	>10	5.41e+00	>10	>10	>10	>10	>10	>10	>10	>10	>10	>10	>10	>10	>10	>10
0.10	3.34e-02	3.03e-02	1.77e+00	2.01e+00	2.36e+00	2.59e+00	2.72e+00	2.35e+00	7.92e-01	2.14e+00	9.70e-01	>10	>10	>10	>10	>10	>10	>10	>10	>10	>10	>10	>10
0.15	6.16e-03	2.96e-03	3.68e-01	2.34e-01	4.35e-01	2.67e-01	3.68e-01	2.07e-01	7.01e-02	2.09e-01	7.85e-02	8.54e+00	>10	5.15e+00	6.48e+00	>10	>10	5.54e+00	>10	>10	>10	>10	>10
0.20	1.14e-03	2.90e-04	7.69e-02	4.10e-02	8.03e-02	4.29e-02	4.98e-02	1.82e-02	7.26e-03	2.05e-02	7.30e-03	1.99e+00	2.49e+00	4.83e-01	6.34e-01	2.73e+00	6.33e+00	6.15e-01	1.61e+00	>10	>10	>10	>10
0.25	2.10e-04	2.83e-05	1.60e-02	9.40e-03	1.48e-02	9.40e-03	6.74e-03	1.61e-03	5.51e-04	2.00e-03	5.51e-04	4.64e-01	4.59e-01	4.53e-02	6.20e-02	6.62e-01	1.17e+00	6.83e-02	1.58e-01	>10	>10	1.68e+00	9.58e+00
0.30	3.87e-05	2.77e-06	3.35e-03	2.36e-03	2.73e-03	2.36e-03	9.12e-04	1.42e-04	0	1.96e-04	0	1.08e-01	8.47e-02	4.26e-03	6.07e-03	1.60e-01	2.16e-01	7.59e-03	1.54e-02	5.80e+00	>10	2.72e-01	9.37e-01
0.35	7.14e-06	2.71e-07	6.99e-04	7.67e-04	5.04e-04	7.67e-04	1.23e-04	1.25e-05	0	1.92e-05	0	2.52e-02	1.56e-02	3.99e-04	5.94e-04	3.89e-02	3.98e-02	8.42e-04	1.51e-03	2.11e+00	2.41e+00	4.42e-02	9.17e-02
0.40	1.32e-06	2.65e-08	1.46e-04	1.78e-04	9.31e-05	1.78e-04	1.67e-05	1.10e-06	0	1.87e-06	0	5.88e-03	2.88e-03	3.75e-05	5.81e-05	9.42e-03	7.34e-03	9.35e-05	1.48e-04	7.71e-01	4.45e-01	7.18e-03	8.97e-03
0.45	2.43e-07	2.60e-09	3.04e-05	0	1.72e-05	0	2.26e-06	9.68e-08	0	1.83e-07	0	1.37e-03	5.32e-04	3.52e-06	5.68e-06	2.28e-03	1.35e-03	1.04e-05	1.45e-05	2.81e-01	8.22e-02	1.17e-03	8.78e-04
0.50	4.49e-08	2.54e-10	6.35e-06	0	3.17e-06	0	3.06e-07	8.53e-09	0	1.79e-08	0	3.19e-04	9.82e-05	3.30e-07	5.56e-07	5.54e-04	2.50e-04	1.15e-06	1.41e-06	1.02e-01	1.52e-02	1.89e-04	8.59e-05
