query	target	evalue	prob	TP/FP(SF)
d1a0tp_/f.4.3	d1uynx_/f.4.5	0.00168	0.900	FP
d1a8ya3/c.47.1	d1thxa_/c.47.1	0.00294	0.999	TP
d1a8ya3/c.47.1	d2b5ea3/c.47.1	0.0014	0.999	TP
d1a8ya3/c.47.1	d1a8ya1/c.47.1	0.00114	0.999	TP
d1ahsa_/b.19.1	d1v70a_/b.82.1	0.00144	0.999	FP
d1atga_/c.94.1	d2a5sa1/c.94.1	0.00106	0.949	TP
d1atga_/c.94.1	d1r9la_/c.94.1	0.000869	0.900	TP
d1atga_/c.94.1	d1ryoa_/c.94.1	0.00302	0.900	TP
d1b4ra_/b.1.3	d1tdqa1/b.1.2	0.00601	0.999	FP
d1b4ra_/b.1.3	d1fnfa1/b.1.2	0.0107	0.999	FP
d1b4ra_/b.1.3	d2crza1/b.1.2	0.0156	0.999	FP
d1b4ra_/b.1.3	d2b5ib2/b.1.2	0.089	0.949	FP
d1b4ra_/b.1.3	d1cfba2/b.1.2	0.0759	0.900	FP
d1b4ra_/b.1.3	d3qzba_/b.1.13	0.197	0.900	FP
d1cxya_/d.120.1	d1t0ga_/d.120.1	0.000494	0.999	TP
d1deka_/c.37.1	d2h92a_/c.37.1	0.000246	0.999	TP
d1dtja_/d.51.1	d1tuaa1/d.51.1	0.0254	0.999	TP
d1x4za1/b.1.2	d1y6kr2/b.1.2	0.0278	0.999	TP
d1x4za1/b.1.2	d2dtge1/b.1.2	0.0495	0.949	TP
d1x4za1/b.1.2	d1edqa1/b.1.18	0.0381	0.949	FP
d1x4za1/b.1.2	d3qzba_/b.1.13	0.0644	0.900	FP
d1x7va_/d.58.4	d2qalf1/d.58.14	0.00574	0.900	FP
d1x7va_/d.58.4	d1r3na2/d.58.19	0.0107	0.900	FP
d1xhca1/c.3.1	d1ryia1/c.3.1	0.00251	0.999	TP
d1xhca1/c.3.1	d1w4xa1/c.3.1	0.000457	0.999	TP
d1xhca1/c.3.1	d1k0ia1/c.3.1	0.000806	0.999	TP
d1xhca1/c.3.1	d1onfa2/c.3.1	0.043	0.949	TP
d1xhca1/c.3.1	d1seza1/c.3.1	0.0334	0.949	TP
d1xhca1/c.3.1	d1pn0a1/c.3.1	0.00443	0.949	TP
d1xhca1/c.3.1	d2iida1/c.3.1	0.0167	0.900	TP
d1xmaa_/a.4.5	d1p6ra_/a.4.5	0.175	0.900	TP
d1xmaa_/a.4.5	d1w5sa1/a.4.5	0.127	0.900	TP
d1ng2a2/b.34.2	d1uffa_/b.34.2	0.000366	0.999	TP
d1ng2a2/b.34.2	d1bb9a_/b.34.2	0.00507	0.999	TP
d1ng2a2/b.34.2	d1t0ha_/b.34.2	0.122	0.900	TP
d1nn7a_/d.42.1	d1buoa_/d.42.1	0.00224	0.999	TP
d1np6a_/c.37.1	d1rz3a_/c.37.1	0.0103	0.900	TP
d1nt2a_/c.66.1	d3evfa_/c.66.1	0.000287	0.999	TP
d1nt2a_/c.66.1	d1uira_/c.66.1	0.000184	0.999	TP
d1nt2a_/c.66.1	d2oyra1/c.66.1	0.000788	0.999	TP
d1nt2a_/c.66.1	d3e9nd_/c.2.1	0.024	0.900	FP
d1nt2a_/c.66.1	d2nvwa1/c.2.1	0.00768	0.900	FP
d1nt2a_/c.66.1	d2g1pa_/c.66.1	0.00526	0.900	TP
d1o59a2/b.18.1	d1wcua_/b.18.1	0.00049	0.999	TP
d1o59a2/b.18.1	d1uwwa_/b.18.1	0.0035	0.900	TP
d1g7sa4/c.37.1	d2gj8a_/c.37.1	0.000459	0.999	TP
d1g7sa4/c.37.1	d3gj0a_/c.37.1	0.000489	0.999	TP
d1gh5a_/b.11.1	d1f53a_/b.11.1	0.168	0.900	TP
d1gh5a_/b.11.1	d1wkta_/b.11.1	0.0946	0.900	TP
d1gkpa2/c.1.9	d2paja2/c.1.9	4.27e-05	0.999	TP
d1gkpa2/c.1.9	d2d69a1/c.1.14	0.00391	0.900	FP
d1gkpa2/c.1.9	d2vhla2/c.1.9	0.00105	0.900	TP
d1gska2/b.6.1	d2bw4a1/b.6.1	0.000686	0.999	TP
d1gska2/b.6.1	d1hfua3/b.6.1	0.00159	0.999	TP
d1gy8a_/c.2.1	d1af7a2/c.66.1	0.00447	0.900	FP
d1h7ea_/c.68.1	d1fo8a_/c.68.1	6.48e-05	0.999	TP
d1vega_/a.5.2	d1wiva_/a.5.2	0.00747	0.949	TP
d1vh3a_/c.68.1	d2e8ba_/c.68.1	0.00192	0.999	TP
d1vh3a_/c.68.1	d2bo4a1/c.68.1	0.000413	0.999	TP
d1g8ka1/b.52.2	d1e32a1/b.52.2	0.0327	0.949	TP
d1go3e1/b.40.4	d3i4oa_/b.40.4	0.0521	0.900	TP
d1gtma1/c.2.1	d1edza1/c.2.1	0.00451	0.900	TP
d1h1na_/c.1.8	d2vwsa_/c.1.12	0.000117	0.999	FP
d1h1na_/c.1.8	d1vd6a_/c.1.18	0.000571	0.999	FP
d1h1na_/c.1.8	d2choa2/c.1.8	0.000476	0.999	TP
d1h1na_/c.1.8	d1jpma1/c.1.11	0.000202	0.999	FP
d1h1na_/c.1.8	d1qo2a_/c.1.2	0.000124	0.999	FP
d1h1na_/c.1.8	d2gdqa1/c.1.11	0.00335	0.949	FP
d1h1na_/c.1.8	d3taob_/c.1.1	0.000931	0.949	FP
d1h1na_/c.1.8	d1rqba2/c.1.10	0.00152	0.949	FP
d1h1na_/c.1.8	d1tqja_/c.1.2	0.00546	0.900	FP
d1h1na_/c.1.8	d2mnra1/c.1.11	0.00946	0.900	FP
d1h1na_/c.1.8	d1tzza1/c.1.11	0.0222	0.900	FP
d1h1na_/c.1.8	d2ooda2/c.1.9	0.00315	0.900	FP
d1h1na_/c.1.8	d3eaua_/c.1.7	0.0089	0.900	FP
d1h1na_/c.1.8	d3blda_/c.1.20	0.00182	0.900	FP
d1h1na_/c.1.8	d1kfwa1/c.1.8	0.000989	0.900	TP
d1hcda_/b.42.5	d1pwaa_/b.42.1	0.175	0.949	FP
d1hcda_/b.42.5	d1xhba1/b.42.2	0.136	0.900	FP
d1arba_/b.47.1	d1dy9.1/b.47.1	0.00217	0.999	TP
d1bgca_/a.26.1	d1lkia_/a.26.1	0.0471	0.999	TP
d1bqua1/b.1.2	d1y6kr2/b.1.2	0.00585	0.999	TP
d1bqua1/b.1.2	d2b5ib1/b.1.2	0.0157	0.999	TP
d1bqua1/b.1.2	d2fnba_/b.1.2	0.0292	0.999	TP
d1bqua1/b.1.2	d2dypd2/b.1.1	0.0867	0.949	FP
d1bqua1/b.1.2	d1b4ra_/b.1.3	0.131	0.900	FP
d1bqua1/b.1.2	d2fcba2/b.1.1	0.118	0.900	FP
d1bw5a_/a.4.1	d1e3oc1/a.4.1	0.0248	0.999	TP
d1bw5a_/a.4.1	d1pufb_/a.4.1	0.0219	0.999	TP
d1uvqb2/d.19.1	d1de4a2/d.19.1	0.0211	0.999	TP
d1uyra2/c.14.1	d1dcia_/c.14.1	0.00118	0.949	TP
d1uyra2/c.14.1	d2f6qa1/c.14.1	0.00801	0.900	TP
d1v5ua_/b.55.1	d1droa_/b.55.1	0.00317	0.999	TP
d1v5ua_/b.55.1	d1dbha2/b.55.1	0.00936	0.999	TP
d1v5ua_/b.55.1	d1xr0b_/b.55.1	0.0246	0.949	TP
d1v84a_/c.68.1	d3q80a_/c.68.1	0.000185	0.999	TP
d1v84a_/c.68.1	d2e8ba_/c.68.1	0.00368	0.949	TP
d1v84a_/c.68.1	d2icya2/c.68.1	0.00472	0.900	TP
d1g86a_/b.29.1	d3kqra_/b.29.1	0.00338	0.999	TP
d1gg3a1/a.11.2	d2cb8a_/a.11.1	0.283	0.949	FP
d1gu3a_/b.18.1	d1j83a_/b.18.1	0.00134	0.999	TP
d1gu3a_/b.18.1	d1uxza_/b.18.1	0.000513	0.999	TP
d1gu3a_/b.18.1	d1oh4a_/b.18.1	0.000873	0.999	TP
d2b0ja2/c.2.1	d1bg6a2/c.2.1	0.000787	0.999	TP
d2b0ja2/c.2.1	d1evya2/c.2.1	8.06e-05	0.999	TP
d2bbaa1/b.18.1	d1w9sa_/b.18.1	0.0243	0.900	TP
d2bgca2/b.82.3	d2et1a_/b.82.1	0.0112	0.949	FP
d2bgca2/b.82.3	d2oyza1/b.82.1	0.0219	0.900	FP
d1y7ta1/c.2.1	d1wmaa1/c.2.1	0.000866	0.999	TP
d1y7ta1/c.2.1	d1gega_/c.2.1	0.000682	0.999	TP
d1y7ta1/c.2.1	d1sb8a_/c.2.1	0.000816	0.999	TP
d1y7ta1/c.2.1	d3f1la_/c.2.1	0.00832	0.949	TP
d1y7ta1/c.2.1	d1uufa2/c.2.1	0.017	0.900	TP
d1y7ta1/c.2.1	d1m6ya2/c.66.1	0.0229	0.900	FP
d1y7ta1/c.2.1	d1zk4a_/c.2.1	0.0142	0.900	TP
d1y7ta1/c.2.1	d1xu9a_/c.2.1	0.0243	0.900	TP
d1y7ta1/c.2.1	d1gy8a_/c.2.1	0.0347	0.900	TP
d1yeya1/c.1.11	d3igsa_/c.1.2	0.00101	0.999	FP
d1yeya1/c.1.11	d2qjga_/c.1.10	0.00101	0.999	FP
d1yeya1/c.1.11	d1piia1/c.1.2	0.000414	0.999	FP
d1yeya1/c.1.11	d2tpsa_/c.1.3	0.000748	0.999	FP
d1yeya1/c.1.11	d1x7fa2/c.1.8	0.00101	0.999	FP
d1yeya1/c.1.11	d1znna1/c.1.2	0.000794	0.999	FP
d1yeya1/c.1.11	d3n9ra_/c.1.10	0.000244	0.999	FP
d1yeya1/c.1.11	d1qopa_/c.1.2	0.0012	0.999	FP
d1yeya1/c.1.11	d2czda_/c.1.2	0.0259	0.949	FP
d1yeya1/c.1.11	d3n2ta_/c.1.7	0.012	0.949	FP
d1yeya1/c.1.11	d1p4ca_/c.1.4	0.0113	0.949	FP
d1yeya1/c.1.11	d1nqka_/c.1.16	0.0171	0.900	FP
d1yeya1/c.1.11	d1eexa_/c.1.19	0.0369	0.900	FP
d1ynfa1/d.126.1	d2a9ga1/d.126.1	0.000481	0.999	TP
d1ynfa1/d.126.1	d1xkna_/d.126.1	0.00073	0.900	TP
d1ysja2/d.58.19	d1q8ka2/d.58.51	0.00208	0.999	FP
d1ysja2/d.58.19	d1jjcb4/d.58.13	0.00514	0.949	FP
d1yw6a1/c.56.5	d1jqga1/c.56.5	0.000254	0.999	TP
d1z91a1/a.4.5	d3hhha_/a.4.5	0.0519	0.949	TP
d1z91a1/a.4.5	d2f2ea1/a.4.5	0.144	0.949	TP
d1vjxa_/a.25.1	d2ib0a1/a.25.1	0.0466	0.999	TP
d1vjxa_/a.25.1	d1lb3a_/a.25.1	0.0442	0.999	TP
d1vkda_/b.67.2	d2vpja_/b.68.11	0.00682	0.999	FP
d1vkda_/b.67.2	d1zgka1/b.68.11	0.000836	0.999	FP
d1vkda_/b.67.2	d1q47a_/b.69.12	0.000725	0.949	FP
d1vkda_/b.67.2	d2ghsa1/b.68.6	0.0285	0.900	FP
d1vkda_/b.67.2	d1nsca_/b.68.1	0.0154	0.900	FP
d1vkda_/b.67.2	d2slia2/b.68.1	0.00276	0.900	FP
d1vp6a_/b.82.3	d2phda1/b.82.1	0.00157	0.999	FP
d1vp6a_/b.82.3	d2o1qa1/b.82.1	0.00623	0.999	FP
d1vpya_/c.1.32	d3emca_/c.1.8	3.51e-05	0.999	FP
d1vpya_/c.1.32	d2ejaa_/c.1.22	0.000286	0.999	FP
d1vpya_/c.1.32	d1edta_/c.1.8	0.00318	0.949	FP
d1vpya_/c.1.32	d1vffa1/c.1.8	0.00111	0.949	FP
d1vpya_/c.1.32	d1u5ha_/c.1.12	0.00248	0.900	FP
d1vpya_/c.1.32	d2tpsa_/c.1.3	0.00359	0.900	FP
d1vpya_/c.1.32	d3nz1a_/c.1.2	0.00626	0.900	FP
d1vpya_/c.1.32	d1qwga_/c.1.27	0.00553	0.900	FP
d1vpya_/c.1.32	d1tx2a_/c.1.21	0.000679	0.900	FP
d1vpya_/c.1.32	d2v3ga_/c.1.8	0.00432	0.900	FP
d1vpya_/c.1.32	d2c0ha1/c.1.8	0.00182	0.900	FP
d1vpya_/c.1.32	d1r3sa_/c.1.22	0.00626	0.900	FP
d1w32a_/c.1.8	d1b5ta_/c.1.23	0.000369	0.999	FP
d1w32a_/c.1.8	d1nofa2/c.1.8	0.000308	0.999	TP
d1w32a_/c.1.8	d1uuqa_/c.1.8	0.000179	0.999	TP
d1w32a_/c.1.8	d1qtwa_/c.1.15	0.00238	0.949	FP
d1w32a_/c.1.8	d1n7ka_/c.1.10	0.0145	0.900	FP
d1w32a_/c.1.8	d1twda_/c.1.30	0.00435	0.900	FP
d1w32a_/c.1.8	d2gdqa1/c.1.11	0.0154	0.900	FP
d1w32a_/c.1.8	d3e96a_/c.1.10	0.00176	0.900	FP
d1w9ya1/b.82.2	d1yfua1/b.82.1	0.000552	0.999	FP
d1w9ya1/b.82.2	d2bnma2/b.82.1	0.000355	0.999	FP
d1w9ya1/b.82.2	d3bu7a1/b.82.1	0.0068	0.900	FP
d1wfxa_/d.166.1	d2o0qa1/d.166.1	0.00439	0.999	TP
d2wkja_/c.1.10	d2qjga_/c.1.10	0.000881	0.999	TP
d2wkja_/c.1.10	d1wdda1/c.1.14	0.000164	0.999	FP
d2wkja_/c.1.10	d3oexa_/c.1.10	0.0026	0.999	TP
